Sample	Moss	Chamber	Microbe	Week	TotalArea
Fallax.0C.0M.rep1	Fallax	0C	0M	Week.0	0.0384432
Fallax.0C.0M.rep10	Fallax	0C	0M	Week.0	0.04996365
Fallax.0C.0M.rep11	Fallax	0C	0M	Week.0	0.1213395
Fallax.0C.0M.rep12	Fallax	0C	0M	Week.0	0.01239912
Fallax.0C.0M.rep2	Fallax	0C	0M	Week.0	0.04323434
Fallax.0C.0M.rep3	Fallax	0C	0M	Week.0	0.0321344
Fallax.0C.0M.rep4	Fallax	0C	0M	Week.0	0.03708705
Fallax.0C.0M.rep5	Fallax	0C	0M	Week.0	0.0413532
Fallax.0C.0M.rep6	Fallax	0C	0M	Week.0	0.0561058
Fallax.0C.0M.rep7	Fallax	0C	0M	Week.0	0.1135296
Fallax.0C.0M.rep8	Fallax	0C	0M	Week.0	0.02275614
Fallax.0C.0M.rep9	Fallax	0C	0M	Week.0	0.02644656
Fallax.0C.4.5M.rep1	Fallax	0C	4.5M	Week.0	0.10725372
Fallax.0C.4.5M.rep10	Fallax	0C	4.5M	Week.0	0.18978392
Fallax.0C.4.5M.rep11	Fallax	0C	4.5M	Week.0	0.17812024
Fallax.0C.4.5M.rep12	Fallax	0C	4.5M	Week.0	0.11332464
Fallax.0C.4.5M.rep2	Fallax	0C	4.5M	Week.0	0.219429
Fallax.0C.4.5M.rep3	Fallax	0C	4.5M	Week.0	0.17653744
Fallax.0C.4.5M.rep4	Fallax	0C	4.5M	Week.0	0.07148736
Fallax.0C.4.5M.rep5	Fallax	0C	4.5M	Week.0	0.17928172
Fallax.0C.4.5M.rep6	Fallax	0C	4.5M	Week.0	0.24746148
Fallax.0C.4.5M.rep7	Fallax	0C	4.5M	Week.0	0.19021064
Fallax.0C.4.5M.rep8	Fallax	0C	4.5M	Week.0	0.13703808
Fallax.0C.4.5M.rep9	Fallax	0C	4.5M	Week.0	0.17799584
Fallax.0C.9M.rep1	Fallax	0C	9M	Week.0	0.21263475
Fallax.0C.9M.rep10	Fallax	0C	9M	Week.0	0.25044678
Fallax.0C.9M.rep11	Fallax	0C	9M	Week.0	0.12303786
Fallax.0C.9M.rep12	Fallax	0C	9M	Week.0	0.25688703
Fallax.0C.9M.rep2	Fallax	0C	9M	Week.0	0.22943625
Fallax.0C.9M.rep3	Fallax	0C	9M	Week.0	0.34438725
Fallax.0C.9M.rep4	Fallax	0C	9M	Week.0	0.24141381
Fallax.0C.9M.rep5	Fallax	0C	9M	Week.0	0.19614924
Fallax.0C.9M.rep6	Fallax	0C	9M	Week.0	0.24638319
Fallax.0C.9M.rep7	Fallax	0C	9M	Week.0	0.12882993
Fallax.0C.9M.rep8	Fallax	0C	9M	Week.0	0.23803164
Fallax.0C.9M.rep9	Fallax	0C	9M	Week.0	0.17521635
Fallax.0C.ControlM.rep1	Fallax	0C	Control	Week.0	0.17622684
Fallax.0C.ControlM.rep10	Fallax	0C	Control	Week.0	0.04797744
Fallax.0C.ControlM.rep11	Fallax	0C	Control	Week.0	0.10105608
Fallax.0C.ControlM.rep12	Fallax	0C	Control	Week.0	0.10951884
Fallax.0C.ControlM.rep2	Fallax	0C	Control	Week.0	0.11125848
Fallax.0C.ControlM.rep3	Fallax	0C	Control	Week.0	0.03606156
Fallax.0C.ControlM.rep4	Fallax	0C	Control	Week.0	0.14388979
Fallax.0C.ControlM.rep5	Fallax	0C	Control	Week.0	0.0309669
Fallax.0C.ControlM.rep6	Fallax	0C	Control	Week.0	0.1096758
Fallax.0C.ControlM.rep7	Fallax	0C	Control	Week.0	0.16648878
Fallax.0C.ControlM.rep8	Fallax	0C	Control	Week.0	0.084366
Fallax.0C.ControlM.rep9	Fallax	0C	Control	Week.0	0.08954568
Fallax.4.5C.0M.rep1	Fallax	4.5C	0M	Week.0	0.01395852
Fallax.4.5C.0M.rep10	Fallax	4.5C	0M	Week.0	0.13143315
Fallax.4.5C.0M.rep11	Fallax	4.5C	0M	Week.0	0.15114948
Fallax.4.5C.0M.rep12	Fallax	4.5C	0M	Week.0	0.10136724
Fallax.4.5C.0M.rep2	Fallax	4.5C	0M	Week.0	0.05470252
Fallax.4.5C.0M.rep3	Fallax	4.5C	0M	Week.0	0.0093312
Fallax.4.5C.0M.rep4	Fallax	4.5C	0M	Week.0	0.04490733
Fallax.4.5C.0M.rep5	Fallax	4.5C	0M	Week.0	0.111188
Fallax.4.5C.0M.rep6	Fallax	4.5C	0M	Week.0	0.08092392
Fallax.4.5C.0M.rep7	Fallax	4.5C	0M	Week.0	0.05488644
Fallax.4.5C.0M.rep8	Fallax	4.5C	0M	Week.0	0.05226375
Fallax.4.5C.0M.rep9	Fallax	4.5C	0M	Week.0	0.08874792
Fallax.4.5C.4.5M.rep1	Fallax	4.5C	4.5M	Week.0	0.17709954
Fallax.4.5C.4.5M.rep10	Fallax	4.5C	4.5M	Week.0	0.18695274
Fallax.4.5C.4.5M.rep11	Fallax	4.5C	4.5M	Week.0	0.15195824
Fallax.4.5C.4.5M.rep12	Fallax	4.5C	4.5M	Week.0	0.1748552
Fallax.4.5C.4.5M.rep2	Fallax	4.5C	4.5M	Week.0	0.18452854
Fallax.4.5C.4.5M.rep3	Fallax	4.5C	4.5M	Week.0	0.1649238
Fallax.4.5C.4.5M.rep4	Fallax	4.5C	4.5M	Week.0	0.1962429
Fallax.4.5C.4.5M.rep5	Fallax	4.5C	4.5M	Week.0	0.07698008
Fallax.4.5C.4.5M.rep6	Fallax	4.5C	4.5M	Week.0	0.22863334
Fallax.4.5C.4.5M.rep7	Fallax	4.5C	4.5M	Week.0	0.14305908
Fallax.4.5C.4.5M.rep8	Fallax	4.5C	4.5M	Week.0	0.1344649
Fallax.4.5C.4.5M.rep9	Fallax	4.5C	4.5M	Week.0	0.34484636
Fallax.4.5C.9M.rep1	Fallax	4.5C	9M	Week.0	0.12026378
Fallax.4.5C.9M.rep10	Fallax	4.5C	9M	Week.0	0.17580924
Fallax.4.5C.9M.rep11	Fallax	4.5C	9M	Week.0	0.11206842
Fallax.4.5C.9M.rep12	Fallax	4.5C	9M	Week.0	0.08744324
Fallax.4.5C.9M.rep2	Fallax	4.5C	9M	Week.0	0.23251206
Fallax.4.5C.9M.rep3	Fallax	4.5C	9M	Week.0	0.1526073
Fallax.4.5C.9M.rep4	Fallax	4.5C	9M	Week.0	0.10074506
Fallax.4.5C.9M.rep5	Fallax	4.5C	9M	Week.0	0.1513952
Fallax.4.5C.9M.rep6	Fallax	4.5C	9M	Week.0	0.2032418
Fallax.4.5C.9M.rep7	Fallax	4.5C	9M	Week.0	0.09166604
Fallax.4.5C.9M.rep8	Fallax	4.5C	9M	Week.0	0.13382366
Fallax.4.5C.9M.rep9	Fallax	4.5C	9M	Week.0	0.11317104
Fallax.4.5C.ControlM.rep1	Fallax	4.5C	Control	Week.0	0.0855228
Fallax.4.5C.ControlM.rep10	Fallax	4.5C	Control	Week.0	0.4292085
Fallax.4.5C.ControlM.rep11	Fallax	4.5C	Control	Week.0	0.10228223
Fallax.4.5C.ControlM.rep12	Fallax	4.5C	Control	Week.0	0.36324698
Fallax.4.5C.ControlM.rep2	Fallax	4.5C	Control	Week.0	0.1412554
Fallax.4.5C.ControlM.rep3	Fallax	4.5C	Control	Week.0	0.3277638
Fallax.4.5C.ControlM.rep4	Fallax	4.5C	Control	Week.0	0.36981721
Fallax.4.5C.ControlM.rep5	Fallax	4.5C	Control	Week.0	0.04947114
Fallax.4.5C.ControlM.rep6	Fallax	4.5C	Control	Week.0	0.33057529
Fallax.4.5C.ControlM.rep7	Fallax	4.5C	Control	Week.0	0.08197334
Fallax.4.5C.ControlM.rep8	Fallax	4.5C	Control	Week.0	0.05161469
Fallax.4.5C.ControlM.rep9	Fallax	4.5C	Control	Week.0	0.40297743
Fallax.9C.0M.rep1	Fallax	9C	0M	Week.0	0.08722098
Fallax.9C.0M.rep10	Fallax	9C	0M	Week.0	0.20599248
Fallax.9C.0M.rep11	Fallax	9C	0M	Week.0	0.06864244
Fallax.9C.0M.rep12	Fallax	9C	0M	Week.0	0.16436972
Fallax.9C.0M.rep2	Fallax	9C	0M	Week.0	0.106865
Fallax.9C.0M.rep3	Fallax	9C	0M	Week.0	0.02448644
Fallax.9C.0M.rep4	Fallax	9C	0M	Week.0	0.05960834
Fallax.9C.0M.rep5	Fallax	9C	0M	Week.0	0.09270778
Fallax.9C.0M.rep6	Fallax	9C	0M	Week.0	0.10531466
Fallax.9C.0M.rep7	Fallax	9C	0M	Week.0	0.1727385
Fallax.9C.0M.rep8	Fallax	9C	0M	Week.0	0.02838462
Fallax.9C.0M.rep9	Fallax	9C	0M	Week.0	0.1966104
Fallax.9C.4.5M.rep1	Fallax	9C	4.5M	Week.0	0.15424839
Fallax.9C.4.5M.rep10	Fallax	9C	4.5M	Week.0	0.04418568
Fallax.9C.4.5M.rep11	Fallax	9C	4.5M	Week.0	0.24113235
Fallax.9C.4.5M.rep12	Fallax	9C	4.5M	Week.0	0.12076941
Fallax.9C.4.5M.rep2	Fallax	9C	4.5M	Week.0	0.10730832
Fallax.9C.4.5M.rep3	Fallax	9C	4.5M	Week.0	0.16487412
Fallax.9C.4.5M.rep4	Fallax	9C	4.5M	Week.0	0.36549466
Fallax.9C.4.5M.rep5	Fallax	9C	4.5M	Week.0	0.13099708
Fallax.9C.4.5M.rep6	Fallax	9C	4.5M	Week.0	0.20197972
Fallax.9C.4.5M.rep7	Fallax	9C	4.5M	Week.0	0.27361807
Fallax.9C.4.5M.rep8	Fallax	9C	4.5M	Week.0	0.18145299
Fallax.9C.4.5M.rep9	Fallax	9C	4.5M	Week.0	0.13427059
Fallax.9C.9M.rep1	Fallax	9C	9M	Week.0	0.2468309
Fallax.9C.9M.rep10	Fallax	9C	9M	Week.0	0.16556081
Fallax.9C.9M.rep11	Fallax	9C	9M	Week.0	0.23102639
Fallax.9C.9M.rep12	Fallax	9C	9M	Week.0	0.15562222
Fallax.9C.9M.rep2	Fallax	9C	9M	Week.0	0.13754626
Fallax.9C.9M.rep3	Fallax	9C	9M	Week.0	0.15080037
Fallax.9C.9M.rep4	Fallax	9C	9M	Week.0	0.08747075
Fallax.9C.9M.rep5	Fallax	9C	9M	Week.0	0.12826121
Fallax.9C.9M.rep6	Fallax	9C	9M	Week.0	0.29446759
Fallax.9C.9M.rep7	Fallax	9C	9M	Week.0	0.17418435
Fallax.9C.9M.rep8	Fallax	9C	9M	Week.0	0.10957953
Fallax.9C.9M.rep9	Fallax	9C	9M	Week.0	0.30167247
Fallax.9C.ControlM.rep1	Fallax	9C	Control	Week.0	0.1264656
Fallax.9C.ControlM.rep10	Fallax	9C	Control	Week.0	0.0951038
Fallax.9C.ControlM.rep11	Fallax	9C	Control	Week.0	0.10321584
Fallax.9C.ControlM.rep12	Fallax	9C	Control	Week.0	0.03389376
Fallax.9C.ControlM.rep2	Fallax	9C	Control	Week.0	0.09258453
Fallax.9C.ControlM.rep3	Fallax	9C	Control	Week.0	0.09044764
Fallax.9C.ControlM.rep4	Fallax	9C	Control	Week.0	0.12943124
Fallax.9C.ControlM.rep5	Fallax	9C	Control	Week.0	0.11263788
Fallax.9C.ControlM.rep6	Fallax	9C	Control	Week.0	0.1813672
Fallax.9C.ControlM.rep7	Fallax	9C	Control	Week.0	0.08957716
Fallax.9C.ControlM.rep8	Fallax	9C	Control	Week.0	0.02780556
Fallax.9C.ControlM.rep9	Fallax	9C	Control	Week.0	0.1220732
Fuscum.0C.0M.rep1	Fuscum	0C	0M	Week.0	0.01279215
Fuscum.0C.0M.rep10	Fuscum	0C	0M	Week.0	0.00942234
Fuscum.0C.0M.rep11	Fuscum	0C	0M	Week.0	0.01317624
Fuscum.0C.0M.rep12	Fuscum	0C	0M	Week.0	0.03182
Fuscum.0C.0M.rep2	Fuscum	0C	0M	Week.0	0.03648294
Fuscum.0C.0M.rep3	Fuscum	0C	0M	Week.0	0.01998486
Fuscum.0C.0M.rep4	Fuscum	0C	0M	Week.0	0.005265
Fuscum.0C.0M.rep5	Fuscum	0C	0M	Week.0	0.02322486
Fuscum.0C.0M.rep6	Fuscum	0C	0M	Week.0	0.03451734
Fuscum.0C.0M.rep7	Fuscum	0C	0M	Week.0	0.0311974
Fuscum.0C.0M.rep8	Fuscum	0C	0M	Week.0	0.01594073
Fuscum.0C.0M.rep9	Fuscum	0C	0M	Week.0	0.00647496
Fuscum.0C.9M.rep1	Fuscum	0C	9M	Week.0	0.06622239
Fuscum.0C.9M.rep10	Fuscum	0C	9M	Week.0	0.10239582
Fuscum.0C.9M.rep11	Fuscum	0C	9M	Week.0	0.06102033
Fuscum.0C.9M.rep12	Fuscum	0C	9M	Week.0	0.16807806
Fuscum.0C.9M.rep2	Fuscum	0C	9M	Week.0	0.0521037
Fuscum.0C.9M.rep3	Fuscum	0C	9M	Week.0	0.03071376
Fuscum.0C.9M.rep4	Fuscum	0C	9M	Week.0	0.0870888
Fuscum.0C.9M.rep5	Fuscum	0C	9M	Week.0	0.03903207
Fuscum.0C.9M.rep6	Fuscum	0C	9M	Week.0	0.11270853
Fuscum.0C.9M.rep7	Fuscum	0C	9M	Week.0	0.08371494
Fuscum.0C.9M.rep8	Fuscum	0C	9M	Week.0	0.03647259
Fuscum.0C.9M.rep9	Fuscum	0C	9M	Week.0	0.12792414
Fuscum.0C.ControlM.rep1	Fuscum	0C	Control	Week.0	0.00086904
Fuscum.0C.ControlM.rep10	Fuscum	0C	Control	Week.0	0.11535228
Fuscum.0C.ControlM.rep11	Fuscum	0C	Control	Week.0	0.07550424
Fuscum.0C.ControlM.rep12	Fuscum	0C	Control	Week.0	0.13090128
Fuscum.0C.ControlM.rep2	Fuscum	0C	Control	Week.0	0.0603642
Fuscum.0C.ControlM.rep3	Fuscum	0C	Control	Week.0	0.10994208
Fuscum.0C.ControlM.rep4	Fuscum	0C	Control	Week.0	0.08282292
Fuscum.0C.ControlM.rep5	Fuscum	0C	Control	Week.0	0.11958672
Fuscum.0C.ControlM.rep6	Fuscum	0C	Control	Week.0	0.07651812
Fuscum.0C.ControlM.rep7	Fuscum	0C	Control	Week.0	0.13574916
Fuscum.0C.ControlM.rep8	Fuscum	0C	Control	Week.0	0.07543608
Fuscum.0C.ControlM.rep9	Fuscum	0C	Control	Week.0	0.18243876
Fuscum.9C.0M.rep1	Fuscum	9C	0M	Week.0	0.224621
Fuscum.9C.0M.rep10	Fuscum	9C	0M	Week.0	0.08063912
Fuscum.9C.0M.rep11	Fuscum	9C	0M	Week.0	0.03945076
Fuscum.9C.0M.rep12	Fuscum	9C	0M	Week.0	0.08989908
Fuscum.9C.0M.rep2	Fuscum	9C	0M	Week.0	0.09391728
Fuscum.9C.0M.rep3	Fuscum	9C	0M	Week.0	0.17882912
Fuscum.9C.0M.rep4	Fuscum	9C	0M	Week.0	0.1417954
Fuscum.9C.0M.rep5	Fuscum	9C	0M	Week.0	0.10645696
Fuscum.9C.0M.rep6	Fuscum	9C	0M	Week.0	0.05811548
Fuscum.9C.0M.rep7	Fuscum	9C	0M	Week.0	0.04161552
Fuscum.9C.0M.rep8	Fuscum	9C	0M	Week.0	0.0883446
Fuscum.9C.0M.rep9	Fuscum	9C	0M	Week.0	0.05742768
Fuscum.9C.9M.rep1	Fuscum	9C	9M	Week.0	0.09349607
Fuscum.9C.9M.rep10	Fuscum	9C	9M	Week.0	0.0639991
Fuscum.9C.9M.rep11	Fuscum	9C	9M	Week.0	0.0748383
Fuscum.9C.9M.rep12	Fuscum	9C	9M	Week.0	0.13172816
Fuscum.9C.9M.rep2	Fuscum	9C	9M	Week.0	0.07683877
Fuscum.9C.9M.rep3	Fuscum	9C	9M	Week.0	0.04972483
Fuscum.9C.9M.rep4	Fuscum	9C	9M	Week.0	0.07310881
Fuscum.9C.9M.rep5	Fuscum	9C	9M	Week.0	0.10485332
Fuscum.9C.9M.rep6	Fuscum	9C	9M	Week.0	0.02083358
Fuscum.9C.9M.rep7	Fuscum	9C	9M	Week.0	0.0963573
Fuscum.9C.9M.rep8	Fuscum	9C	9M	Week.0	0.03919646
Fuscum.9C.9M.rep9	Fuscum	9C	9M	Week.0	0.11512665
Fuscum.9C.ControlM.rep1	Fuscum	9C	Control	Week.0	0.0323036
Fuscum.9C.ControlM.rep10	Fuscum	9C	Control	Week.0	0.05776284
Fuscum.9C.ControlM.rep11	Fuscum	9C	Control	Week.0	0.120374
Fuscum.9C.ControlM.rep12	Fuscum	9C	Control	Week.0	0.04040452
Fuscum.9C.ControlM.rep2	Fuscum	9C	Control	Week.0	0.0767558
Fuscum.9C.ControlM.rep3	Fuscum	9C	Control	Week.0	0.06734828
Fuscum.9C.ControlM.rep4	Fuscum	9C	Control	Week.0	0.0602426
Fuscum.9C.ControlM.rep5	Fuscum	9C	Control	Week.0	0.03408836
Fuscum.9C.ControlM.rep6	Fuscum	9C	Control	Week.0	0.08551836
Fuscum.9C.ControlM.rep7	Fuscum	9C	Control	Week.0	0.11567024
Fuscum.9C.ControlM.rep8	Fuscum	9C	Control	Week.0	0.032665
Fuscum.9C.ControlM.rep9	Fuscum	9C	Control	Week.0	0.00099524
Magellanicum.0C.0M.rep1	Magellanicum	0C	0M	Week.0	0.06709668
Magellanicum.0C.0M.rep10	Magellanicum	0C	0M	Week.0	0.0237474
Magellanicum.0C.0M.rep11	Magellanicum	0C	0M	Week.0	0.00602624
Magellanicum.0C.0M.rep12	Magellanicum	0C	0M	Week.0	0.02308864
Magellanicum.0C.0M.rep2	Magellanicum	0C	0M	Week.0	0.02301145
Magellanicum.0C.0M.rep3	Magellanicum	0C	0M	Week.0	0.0112796
Magellanicum.0C.0M.rep4	Magellanicum	0C	0M	Week.0	0.03154368
Magellanicum.0C.0M.rep5	Magellanicum	0C	0M	Week.0	0.007536
Magellanicum.0C.0M.rep6	Magellanicum	0C	0M	Week.0	0.01855272
Magellanicum.0C.0M.rep7	Magellanicum	0C	0M	Week.0	0.00947869
Magellanicum.0C.0M.rep8	Magellanicum	0C	0M	Week.0	0.01959355
Magellanicum.0C.0M.rep9	Magellanicum	0C	0M	Week.0	0.00140454
Magellanicum.0C.4.5M.rep1	Magellanicum	0C	4.5M	Week.0	0.05916456
Magellanicum.0C.4.5M.rep10	Magellanicum	0C	4.5M	Week.0	0.03388056
Magellanicum.0C.4.5M.rep11	Magellanicum	0C	4.5M	Week.0	0.02065644
Magellanicum.0C.4.5M.rep12	Magellanicum	0C	4.5M	Week.0	0.01400028
Magellanicum.0C.4.5M.rep2	Magellanicum	0C	4.5M	Week.0	0.05693604
Magellanicum.0C.4.5M.rep3	Magellanicum	0C	4.5M	Week.0	0.02495472
Magellanicum.0C.4.5M.rep4	Magellanicum	0C	4.5M	Week.0	0.01068396
Magellanicum.0C.4.5M.rep5	Magellanicum	0C	4.5M	Week.0	0.02927652
Magellanicum.0C.4.5M.rep6	Magellanicum	0C	4.5M	Week.0	0.04543476
Magellanicum.0C.4.5M.rep7	Magellanicum	0C	4.5M	Week.0	0.00960204
Magellanicum.0C.4.5M.rep8	Magellanicum	0C	4.5M	Week.0	0.0066444
Magellanicum.0C.4.5M.rep9	Magellanicum	0C	4.5M	Week.0	0.01403556
Magellanicum.0C.9M.rep1	Magellanicum	0C	9M	Week.0	0.09314679
Magellanicum.0C.9M.rep10	Magellanicum	0C	9M	Week.0	0.03484383
Magellanicum.0C.9M.rep11	Magellanicum	0C	9M	Week.0	0.05928354
Magellanicum.0C.9M.rep12	Magellanicum	0C	9M	Week.0	0.06378756
Magellanicum.0C.9M.rep2	Magellanicum	0C	9M	Week.0	0.13713162
Magellanicum.0C.9M.rep3	Magellanicum	0C	9M	Week.0	0.05330865
Magellanicum.0C.9M.rep4	Magellanicum	0C	9M	Week.0	0.1203288
Magellanicum.0C.9M.rep5	Magellanicum	0C	9M	Week.0	0.07510578
Magellanicum.0C.9M.rep6	Magellanicum	0C	9M	Week.0	0.05045832
Magellanicum.0C.9M.rep7	Magellanicum	0C	9M	Week.0	0.05145552
Magellanicum.0C.9M.rep8	Magellanicum	0C	9M	Week.0	0.12161685
Magellanicum.0C.9M.rep9	Magellanicum	0C	9M	Week.0	0.06451053
Magellanicum.0C.ControlM.rep1	Magellanicum	0C	Control	Week.0	0.02872368
Magellanicum.0C.ControlM.rep10	Magellanicum	0C	Control	Week.0	0.03610776
Magellanicum.0C.ControlM.rep11	Magellanicum	0C	Control	Week.0	0.09140256
Magellanicum.0C.ControlM.rep12	Magellanicum	0C	Control	Week.0	0.03943908
Magellanicum.0C.ControlM.rep2	Magellanicum	0C	Control	Week.0	0.06876156
Magellanicum.0C.ControlM.rep3	Magellanicum	0C	Control	Week.0	0.08980932
Magellanicum.0C.ControlM.rep4	Magellanicum	0C	Control	Week.0	0.10259784
Magellanicum.0C.ControlM.rep5	Magellanicum	0C	Control	Week.0	0.00670524
Magellanicum.0C.ControlM.rep6	Magellanicum	0C	Control	Week.0	0.15082104
Magellanicum.0C.ControlM.rep7	Magellanicum	0C	Control	Week.0	0.0379566
Magellanicum.0C.ControlM.rep8	Magellanicum	0C	Control	Week.0	0.106074
Magellanicum.0C.ControlM.rep9	Magellanicum	0C	Control	Week.0	0.15030984
Magellanicum.4.5C.0M.rep1	Magellanicum	4.5C	0M	Week.0	0.02314452
Magellanicum.4.5C.0M.rep10	Magellanicum	4.5C	0M	Week.0	0.08364636
Magellanicum.4.5C.0M.rep11	Magellanicum	4.5C	0M	Week.0	0.07209132
Magellanicum.4.5C.0M.rep12	Magellanicum	4.5C	0M	Week.0	0.09562434
Magellanicum.4.5C.0M.rep2	Magellanicum	4.5C	0M	Week.0	0.03477282
Magellanicum.4.5C.0M.rep3	Magellanicum	4.5C	0M	Week.0	0.13465452
Magellanicum.4.5C.0M.rep4	Magellanicum	4.5C	0M	Week.0	0.04231794
Magellanicum.4.5C.0M.rep5	Magellanicum	4.5C	0M	Week.0	0.0421743
Magellanicum.4.5C.0M.rep6	Magellanicum	4.5C	0M	Week.0	0.074613
Magellanicum.4.5C.0M.rep7	Magellanicum	4.5C	0M	Week.0	0.05155878
Magellanicum.4.5C.0M.rep8	Magellanicum	4.5C	0M	Week.0	0.09726024
Magellanicum.4.5C.0M.rep9	Magellanicum	4.5C	0M	Week.0	0.065835
Magellanicum.4.5C.4.5M.rep1	Magellanicum	4.5C	4.5M	Week.0	0.0946827
Magellanicum.4.5C.4.5M.rep10	Magellanicum	4.5C	4.5M	Week.0	0.0600894
Magellanicum.4.5C.4.5M.rep11	Magellanicum	4.5C	4.5M	Week.0	0.11444916
Magellanicum.4.5C.4.5M.rep12	Magellanicum	4.5C	4.5M	Week.0	0.04934832
Magellanicum.4.5C.4.5M.rep2	Magellanicum	4.5C	4.5M	Week.0	0.08547378
Magellanicum.4.5C.4.5M.rep3	Magellanicum	4.5C	4.5M	Week.0	0.12255684
Magellanicum.4.5C.4.5M.rep4	Magellanicum	4.5C	4.5M	Week.0	0.06122256
Magellanicum.4.5C.4.5M.rep5	Magellanicum	4.5C	4.5M	Week.0	0.0599298
Magellanicum.4.5C.4.5M.rep6	Magellanicum	4.5C	4.5M	Week.0	0.0751716
Magellanicum.4.5C.4.5M.rep7	Magellanicum	4.5C	4.5M	Week.0	0.08868174
Magellanicum.4.5C.4.5M.rep8	Magellanicum	4.5C	4.5M	Week.0	0.034314
Magellanicum.4.5C.4.5M.rep9	Magellanicum	4.5C	4.5M	Week.0	0.07009632
Magellanicum.4.5C.9M.rep1	Magellanicum	4.5C	9M	Week.0	0.13615476
Magellanicum.4.5C.9M.rep10	Magellanicum	4.5C	9M	Week.0	0.13248867
Magellanicum.4.5C.9M.rep11	Magellanicum	4.5C	9M	Week.0	0.08406131
Magellanicum.4.5C.9M.rep12	Magellanicum	4.5C	9M	Week.0	0.06802845
Magellanicum.4.5C.9M.rep2	Magellanicum	4.5C	9M	Week.0	0.05561262
Magellanicum.4.5C.9M.rep3	Magellanicum	4.5C	9M	Week.0	0.06925044
Magellanicum.4.5C.9M.rep4	Magellanicum	4.5C	9M	Week.0	0.0995904
Magellanicum.4.5C.9M.rep5	Magellanicum	4.5C	9M	Week.0	0.08343888
Magellanicum.4.5C.9M.rep6	Magellanicum	4.5C	9M	Week.0	0.07986384
Magellanicum.4.5C.9M.rep7	Magellanicum	4.5C	9M	Week.0	0.08986331
Magellanicum.4.5C.9M.rep8	Magellanicum	4.5C	9M	Week.0	0.10307253
Magellanicum.4.5C.9M.rep9	Magellanicum	4.5C	9M	Week.0	0.0917683
Magellanicum.4.5C.ControlM.rep1	Magellanicum	4.5C	Control	Week.0	0.06527359
Magellanicum.4.5C.ControlM.rep10	Magellanicum	4.5C	Control	Week.0	0.06552284
Magellanicum.4.5C.ControlM.rep11	Magellanicum	4.5C	Control	Week.0	0.06083694
Magellanicum.4.5C.ControlM.rep12	Magellanicum	4.5C	Control	Week.0	0.09584161
Magellanicum.4.5C.ControlM.rep2	Magellanicum	4.5C	Control	Week.0	0.07017883
